,Type,Duration,Calories,@totalEnergyBurnedUnit,Date,WorkoutRoute
221,Walk,14.64841469923655,100.6563055868715,Cal,2021-01-20 11:40:08,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-20 11:40:08 -0400'), ('@startDate', '2021-01-20 11:26:38 -0400'), ('@endDate', '2021-01-20 11:38:53 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '070C59D9-A6BE-4B95-B7F0-AFE252822F78')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-20_10.38am.gpx')]))])"
222,Walk,21.18541698257128,128.3661484246857,Cal,2021-01-20 13:14:33,
223,Run,32.93009389837583,527.2282283588036,Cal,2021-01-21 13:34:07,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-21 13:34:08 -0400'), ('@startDate', '2021-01-21 13:01:16 -0400'), ('@endDate', '2021-01-21 13:34:04 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '25E21767-1AE4-4AA5-ABC8-AA4B91804506')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-21_12.34pm.gpx')]))])"
224,Walk,12.70232063730558,82.96022672461835,Cal,2021-01-21 13:47:07,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-21 13:47:07 -0400'), ('@startDate', '2021-01-21 13:44:31 -0400'), ('@endDate', '2021-01-21 13:45:23 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', 'CC15EA55-19AA-458E-8917-FACC64760E5F')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-21_12.45pm.gpx')]))])"
225,Walk,50.24205871621768,290.6856087405701,Cal,2021-01-23 18:10:59,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-23 18:11:02 -0400'), ('@startDate', '2021-01-23 17:20:49 -0400'), ('@endDate', '2021-01-23 18:10:57 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '86CFD93B-CF34-4396-9D38-B0C70CFC4C03')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-23_5.10pm.gpx')]))])"
226,Walk,32.3401313841343,127.5599479411117,Cal,2021-01-24 15:18:10,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-24 15:18:12 -0400'), ('@startDate', '2021-01-24 14:45:47 -0400'), ('@endDate', '2021-01-24 15:18:08 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '5DA5AF96-88CB-453B-A1D6-0E7703B7B6D4')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-24_2.18pm.gpx')]))])"
227,Walk,8.420334565639497,44.74540546530457,Cal,2021-01-25 17:03:48,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-25 17:03:48 -0400'), ('@startDate', '2021-01-25 16:55:23 -0400'), ('@endDate', '2021-01-25 17:03:45 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '54C68D53-C696-4AE5-AF31-CA2C69AB5F4E')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-25_4.03pm.gpx')]))])"
228,Run,34.35231018463771,490.0351225260777,Cal,2021-01-25 17:38:27,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-25 17:38:29 -0400'), ('@startDate', '2021-01-25 17:04:03 -0400'), ('@endDate', '2021-01-25 17:38:24 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '1D1B7DE6-8ADC-4046-B773-7D2AB8211045')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-25_4.38pm.gpx')]))])"
229,Walk,6.988124883174896,48.97437647201539,Cal,2021-01-25 17:47:17,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-25 17:47:18 -0400'), ('@startDate', '2021-01-25 17:42:31 -0400'), ('@endDate', '2021-01-25 17:45:26 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '5AD2C35A-31D9-4A60-80A5-7A1603C1269C')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-25_4.45pm.gpx')]))])"
230,Run,32.80074881712596,526.2680304587013,Cal,2021-01-27 14:42:47,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-27 14:42:49 -0400'), ('@startDate', '2021-01-27 14:09:57 -0400'), ('@endDate', '2021-01-27 14:42:44 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', 'B28406BC-FE1C-4C32-B529-759E2AD0ADE6')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-27_1.42pm.gpx')]))])"
